PassengerId,Survived,Sex,Age,SibSp,Parch,Fare,Relatives,Pclass_1,Pclass_2,Pclass_3,Embarked_C,Embarked_Q,Embarked_S,Title_Army,Title_Clerisy,Title_Master,Title_Miss,Title_Mr,Title_Mrs,Title_Nobility,Cabin_A,Cabin_B,Cabin_C,Cabin_D,Cabin_E,Cabin_F,Cabin_G,Cabin_T,Cabin_X
1,0.0,0,22.0,1,0,7.25,1,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
2,1.0,1,38.0,1,0,71.2833,1,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
3,1.0,1,26.0,0,0,7.925,0,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
4,1.0,1,35.0,1,0,53.1,1,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
5,0.0,0,35.0,0,0,8.05,0,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
6,0.0,0,24.0,0,0,8.4583,0,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
7,0.0,0,54.0,0,0,51.8625,0,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
8,0.0,0,2.0,3,1,21.075,4,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
9,1.0,1,27.0,0,2,11.1333,2,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
10,1.0,1,14.0,1,0,30.0708,1,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
11,1.0,1,4.0,1,1,16.7,2,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
12,1.0,1,58.0,0,0,26.55,0,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
13,0.0,0,20.0,0,0,8.05,0,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
